id,node_id,temp,humidity,ax,ay,az,x,y,z,co_ppm,ch4_ppm,hazardous_ppm,rfid,status,timestamp
35,Node-01,24.65,53.43,0.19,-0.16,9.56,80.63,11.06,-32.43,4.87,0.54,1.82,--,SAFE,2026-02-13T14:00:41Z
36,Node-01,24.82,53.51,0.23,0.13,9.96,72.22,86.33,-20.93,4.82,0.55,2.15,--,SAFE,2026-02-13T14:00:42Z
37,Node-01,25.01,53.28,0.04,-0.03,9.82,70.31,95.94,-5.46,5.25,0.49,1.98,WORKER-005,SAFE,2026-02-13T14:00:43Z
38,Node-01,25.11,53.67,-0.01,0.12,9.63,71.68,4.31,-31.78,4.73,0.53,2.17,--,SAFE,2026-02-13T14:00:44Z
39,Node-01,25.27,53.79,-0.09,-0.22,9.57,24.23,67.75,-36.12,4.89,0.51,2.15,--,SAFE,2026-02-13T14:00:45Z
40,Node-01,25.29,53.48,-0.14,0.11,9.88,51.89,37.06,-45.94,4.74,0.49,2.04,--,SAFE,2026-02-13T14:00:46Z
41,Node-01,25.11,53.94,-0.12,0.19,10.02,4.81,6.91,-33.64,4.76,0.48,1.82,--,SAFE,2026-02-13T14:00:47Z
42,Node-01,25.20,53.71,-0.18,0.12,9.65,80.55,65.81,-44.79,5.02,0.55,1.87,WORKER-001,SAFE,2026-02-13T14:00:48Z
43,Node-01,25.01,53.45,-0.11,-0.09,9.77,22.71,65.48,-22.92,4.68,0.53,2.22,WORKER-005,SAFE,2026-02-13T14:00:49Z
44,Node-01,24.80,53.01,0.25,-0.21,9.87,36.29,14.46,-1.87,4.73,0.48,2.24,WORKER-003,SAFE,2026-02-13T14:00:50Z
45,Node-01,24.55,52.53,0.18,0.04,9.95,74.74,83.34,-44.71,5.10,0.49,2.14,--,SAFE,2026-02-13T14:00:51Z
46,Node-01,24.51,52.77,0.09,0.21,9.74,11.30,17.70,-25.09,4.96,0.45,1.79,--,SAFE,2026-02-13T14:00:52Z
47,Node-01,24.49,52.78,-0.08,-0.09,9.75,23.09,80.34,-42.90,5.06,0.48,2.04,--,SAFE,2026-02-13T14:00:53Z
48,Node-01,24.66,52.63,-0.21,-0.04,9.96,10.93,28.64,-18.01,5.19,0.53,2.19,--,SAFE,2026-02-13T14:00:54Z
49,Node-01,24.73,52.41,0.03,-0.06,9.69,55.39,42.00,-2.68,4.65,0.45,2.18,--,SAFE,2026-02-13T14:00:55Z
50,Node-01,24.56,52.19,-0.09,-0.05,9.89,25.52,67.43,-33.39,5.18,0.47,1.93,WORKER-001,SAFE,2026-02-13T14:00:56Z
51,Node-01,24.73,52.08,-0.18,0.12,10.03,61.47,75.95,-38.84,5.37,0.48,2.10,--,SAFE,2026-02-13T14:00:57Z
52,Node-01,24.51,52.30,1.57,-1.58,-0.72,79.10,72.07,-19.59,4.73,0.52,1.76,WORKER-001,SAFE,2026-02-13T14:00:58Z
53,Node-01,24.43,51.89,0.01,0.04,9.77,7.00,74.83,-19.29,4.70,0.46,2.16,WORKER-001,SAFE,2026-02-13T14:00:59Z
54,Node-01,24.44,51.94,0.18,-0.22,9.88,20.21,6.04,-44.28,4.53,0.50,2.09,--,SAFE,2026-02-13T14:01:00Z
55,Node-01,24.55,51.53,-0.13,0.07,9.84,41.88,8.01,-46.68,4.52,0.53,1.77,--,SAFE,2026-02-13T14:01:01Z
56,Node-01,24.56,51.15,-0.12,-0.10,9.84,19.77,58.07,-23.31,4.60,0.54,1.82,WORKER-004,SAFE,2026-02-13T14:01:02Z
57,Node-01,24.35,50.78,-0.23,0.01,9.91,25.66,65.31,-7.81,64.71,0.49,2.20,WORKER-003,SAFE,2026-02-13T14:01:03Z
58,Node-01,24.35,50.77,-0.04,-0.24,9.60,90.48,7.57,-17.78,4.55,0.52,1.81,--,SAFE,2026-02-13T14:01:04Z
59,Node-01,24.27,50.30,-0.03,-0.20,9.83,43.47,25.94,-45.64,4.73,0.49,1.98,WORKER-002,SAFE,2026-02-13T14:01:05Z
60,Node-01,24.46,50.09,-0.19,0.02,9.61,85.60,77.05,-35.79,5.45,0.48,2.02,--,SAFE,2026-02-13T14:01:06Z
61,Node-01,24.25,50.39,-0.05,0.04,9.99,74.20,45.26,-49.66,4.53,0.46,1.78,--,SAFE,2026-02-13T14:01:07Z
62,Node-01,24.06,50.71,0.19,-0.24,9.86,18.70,56.57,-24.76,4.84,0.54,1.95,--,SAFE,2026-02-13T14:01:08Z
63,Node-01,23.87,50.85,0.09,0.10,9.76,29.87,80.48,-23.06,4.51,0.51,1.85,WORKER-002,SAFE,2026-02-13T14:01:09Z
64,Node-01,24.07,50.65,-0.20,-0.21,9.72,71.18,36.78,-8.82,4.65,0.48,2.22,--,SAFE,2026-02-13T14:01:10Z
65,Node-01,24.28,50.64,-0.18,0.01,10.03,31.12,3.15,-42.94,5.37,0.47,1.87,WORKER-002,SAFE,2026-02-13T14:01:11Z
66,Node-01,24.21,51.03,0.23,0.19,9.61,0.47,80.09,-49.96,5.39,0.52,2.01,--,SAFE,2026-02-13T14:01:12Z
67,Node-01,23.97,51.40,1.58,2.50,2.00,15.05,6.24,-19.57,5.14,0.53,2.09,WORKER-004,SAFE,2026-02-13T14:01:13Z
68,ESP32-Miner-01,28.00,69.60,0.07,0.00,9.86,0.00,0.00,0.00,10.00,1.90,0.00,Worker-X99,SAFE,2026-02-13T17:18:57Z
69,ESP32-Miner-01,29.70,68.70,-0.01,0.08,9.84,0.00,0.00,0.00,28.00,1.30,0.00,Worker-X99,SAFE,2026-02-13T17:18:58Z
70,ESP32-Miner-01,29.40,60.20,-0.03,-0.06,9.78,0.00,0.00,0.00,10.00,0.40,0.00,Worker-X99,SAFE,2026-02-13T17:18:59Z
71,ESP32-Miner-01,27.50,60.90,-0.06,0.09,9.74,0.00,0.00,0.00,13.00,2.10,0.00,Worker-X99,SAFE,2026-02-13T17:19:00Z
72,ESP32-Miner-01,27.80,64.50,-0.09,-0.04,9.87,0.00,0.00,0.00,34.00,1.70,0.00,Worker-X99,SAFE,2026-02-13T17:19:01Z
73,ESP32-Miner-01,26.30,61.80,-0.08,0.04,9.73,0.00,0.00,0.00,57.00,2.40,0.00,Worker-X99,SAFE,2026-02-13T17:19:02Z
74,ESP32-Miner-01,26.70,65.60,-0.04,0.05,9.77,0.00,0.00,0.00,69.00,1.10,0.00,Worker-X99,SAFE,2026-02-13T17:19:03Z
75,ESP32-Miner-01,27.80,66.30,-0.05,-0.08,9.87,0.00,0.00,0.00,42.00,3.40,0.00,Worker-X99,SAFE,2026-02-13T17:19:04Z
76,ESP32-Miner-01,27.20,67.20,-0.01,-0.07,9.84,0.00,0.00,0.00,68.00,4.50,0.00,Worker-X99,SAFE,2026-02-13T17:19:05Z
77,ESP32-Miner-01,29.40,60.10,0.07,0.07,9.86,0.00,0.00,0.00,31.00,1.80,0.00,Worker-X99,SAFE,2026-02-13T17:19:06Z
78,ESP32-Miner-01,27.40,69.70,0.08,-0.08,9.72,0.00,0.00,0.00,76.00,4.90,0.00,Worker-X99,SAFE,2026-02-13T17:19:07Z
79,ESP32-Miner-01,27.50,61.20,-0.10,-0.10,9.73,0.00,0.00,0.00,63.00,1.20,0.00,Worker-X99,SAFE,2026-02-13T17:19:08Z
80,ESP32-Miner-01,27.30,68.40,-0.07,-0.05,9.75,0.00,0.00,0.00,39.00,3.20,0.00,Worker-X99,SAFE,2026-02-13T17:19:10Z
81,ESP32-Miner-01,26.00,61.00,-0.06,0.09,9.85,0.00,0.00,0.00,31.00,0.10,0.00,Worker-X99,SAFE,2026-02-13T17:19:11Z
82,ESP32-Miner-01,27.50,61.50,-0.10,0.02,9.87,0.00,0.00,0.00,16.00,2.30,0.00,Worker-X99,SAFE,2026-02-13T17:19:12Z
83,ESP32-Miner-01,29.80,66.90,-0.03,0.09,9.73,0.00,0.00,0.00,37.00,1.40,0.00,Worker-X99,SAFE,2026-02-13T17:19:13Z
84,ESP32-Miner-01,28.70,64.20,-0.08,0.09,9.78,0.00,0.00,0.00,50.00,4.20,0.00,Worker-X99,SAFE,2026-02-13T17:19:14Z
85,ESP32-Miner-01,27.50,67.10,-0.03,-0.07,9.78,0.00,0.00,0.00,15.00,0.60,0.00,Worker-X99,SAFE,2026-02-13T17:19:15Z
86,ESP32-Miner-01,26.00,69.70,0.02,0.05,9.90,0.00,0.00,0.00,47.00,4.20,0.00,Worker-X99,SAFE,2026-02-13T17:19:16Z
87,ESP32-Miner-01,29.10,62.40,-0.03,0.05,9.82,0.00,0.00,0.00,2.00,2.00,0.00,Worker-X99,SAFE,2026-02-13T17:19:17Z
88,ESP32-Miner-01,29.40,63.30,0.03,0.07,9.77,0.00,0.00,0.00,69.00,0.90,0.00,Worker-X99,SAFE,2026-02-13T17:19:18Z
89,ESP32-Miner-01,26.60,69.30,0.09,-0.08,9.79,0.00,0.00,0.00,69.00,0.80,0.00,Worker-X99,SAFE,2026-02-13T17:19:19Z
90,ESP32-Miner-01,29.60,69.00,0.02,-0.01,9.89,0.00,0.00,0.00,40.00,2.20,0.00,Worker-X99,SAFE,2026-02-13T17:19:20Z
91,ESP32-Miner-01,29.40,67.10,0.07,0.08,9.75,0.00,0.00,0.00,49.00,0.90,0.00,Worker-X99,SAFE,2026-02-13T17:19:21Z
92,ESP32-Miner-01,28.60,68.30,-0.06,-0.09,9.72,0.00,0.00,0.00,51.00,4.80,0.00,Worker-X99,SAFE,2026-02-13T17:19:23Z
93,ESP32-Miner-01,27.60,64.00,0.09,-0.08,9.77,0.00,0.00,0.00,19.00,4.50,0.00,Worker-X99,SAFE,2026-02-13T17:19:24Z
94,ESP32-Miner-01,26.30,64.90,-0.02,0.05,9.83,0.00,0.00,0.00,4.00,3.10,0.00,Worker-X99,SAFE,2026-02-13T17:19:25Z
95,ESP32-Miner-01,28.90,63.90,0.04,0.03,9.84,0.00,0.00,0.00,7.00,1.60,0.00,Worker-X99,SAFE,2026-02-13T17:19:26Z
96,ESP32-Miner-01,29.10,63.90,-0.09,0.04,9.73,0.00,0.00,0.00,34.00,4.90,0.00,Worker-X99,SAFE,2026-02-13T17:19:27Z
97,ESP32-Miner-01,27.90,65.60,0.07,-0.08,9.85,0.00,0.00,0.00,66.00,4.90,0.00,Worker-X99,SAFE,2026-02-13T17:19:28Z
98,ESP32-Miner-01,26.00,65.50,0.04,0.07,9.85,0.00,0.00,0.00,3.00,0.90,0.00,Worker-X99,SAFE,2026-02-13T17:19:29Z
99,ESP32-Miner-01,27.70,68.30,0.07,-0.08,9.89,0.00,0.00,0.00,4.00,4.70,0.00,Worker-X99,SAFE,2026-02-13T17:19:30Z
100,ESP32-Miner-01,28.00,67.30,-0.03,0.02,9.84,0.00,0.00,0.00,35.00,1.70,0.00,Worker-X99,SAFE,2026-02-13T17:19:31Z
101,ESP32-Miner-01,29.00,65.10,-0.03,0.03,9.83,0.00,0.00,0.00,27.00,1.10,0.00,Worker-X99,SAFE,2026-02-13T17:19:32Z
102,ESP32-Miner-01,28.50,63.40,-0.08,-0.02,9.85,0.00,0.00,0.00,31.00,3.40,0.00,Worker-X99,SAFE,2026-02-13T17:19:33Z
103,ESP32-Miner-01,28.80,61.10,0.02,-0.07,9.75,0.00,0.00,0.00,43.00,0.20,0.00,Worker-X99,SAFE,2026-02-13T17:19:34Z
104,ESP32-Miner-01,28.60,64.20,-0.09,-0.10,9.87,0.00,0.00,0.00,64.00,1.20,0.00,Worker-X99,SAFE,2026-02-13T17:19:35Z
105,ESP32-Miner-01,26.40,64.40,-0.02,-0.06,9.89,0.00,0.00,0.00,68.00,4.90,0.00,Worker-X99,SAFE,2026-02-13T17:19:36Z
106,ESP32-Miner-01,26.40,69.10,-0.07,-0.07,9.76,0.00,0.00,0.00,32.00,1.10,0.00,Worker-X99,SAFE,2026-02-13T17:19:37Z
107,ESP32-Miner-01,27.10,61.60,-0.08,0.06,9.71,0.00,0.00,0.00,78.00,3.00,0.00,Worker-X99,SAFE,2026-02-13T17:19:38Z
108,ESP32-Miner-01,27.60,66.30,-0.02,-0.04,9.81,0.00,0.00,0.00,72.00,2.00,0.00,Worker-X99,SAFE,2026-02-13T17:19:39Z
109,ESP32-Miner-01,26.10,66.70,-0.04,-0.10,9.78,0.00,0.00,0.00,17.00,4.90,0.00,Worker-X99,SAFE,2026-02-13T17:19:40Z
110,ESP32-Miner-01,29.80,61.50,0.02,0.09,9.88,0.00,0.00,0.00,60.00,4.40,0.00,Worker-X99,SAFE,2026-02-13T17:19:41Z
111,ESP32-Miner-01,28.50,64.00,-0.06,0.01,9.83,0.00,0.00,0.00,42.00,2.30,0.00,Worker-X99,SAFE,2026-02-13T17:19:42Z
112,ESP32-Miner-01,26.00,64.50,-0.09,0.03,9.76,0.00,0.00,0.00,25.00,3.90,0.00,Worker-X99,SAFE,2026-02-13T17:19:43Z
113,ESP32-Miner-01,28.00,66.60,0.07,0.04,9.74,0.00,0.00,0.00,19.00,3.20,0.00,Worker-X99,SAFE,2026-02-13T17:19:44Z
114,ESP32-Miner-01,29.20,66.60,-0.06,0.02,9.82,0.00,0.00,0.00,37.00,4.90,0.00,Worker-X99,SAFE,2026-02-13T17:19:45Z
115,ESP32-Miner-01,27.80,64.10,-0.10,-0.04,9.87,0.00,0.00,0.00,66.00,2.40,0.00,Worker-X99,SAFE,2026-02-13T17:19:46Z
116,ESP32-Miner-01,29.40,63.40,-0.02,0.02,9.86,0.00,0.00,0.00,10.00,0.50,0.00,Worker-X99,SAFE,2026-02-13T17:19:47Z
117,ESP32-Miner-01,28.00,63.70,-0.05,-0.06,9.90,0.00,0.00,0.00,12.00,3.20,0.00,Worker-X99,SAFE,2026-02-13T17:19:48Z
118,ESP32-Miner-01,26.80,62.20,0.07,-0.10,9.74,0.00,0.00,0.00,50.00,3.60,0.00,Worker-X99,SAFE,2026-02-13T17:19:49Z
119,ESP32-Miner-01,29.00,68.80,0.00,-0.10,9.75,0.00,0.00,0.00,54.00,3.70,0.00,Worker-X99,SAFE,2026-02-13T17:19:50Z
120,ESP32-Miner-01,29.90,67.30,0.09,0.00,9.83,0.00,0.00,0.00,70.00,4.80,0.00,Worker-X99,SAFE,2026-02-13T17:19:51Z
121,ESP32-Miner-01,28.60,65.70,-0.07,0.00,9.79,0.00,0.00,0.00,26.00,3.30,0.00,Worker-X99,SAFE,2026-02-13T17:19:52Z
122,ESP32-Miner-01,27.70,67.60,-0.05,0.07,9.76,0.00,0.00,0.00,66.00,0.40,0.00,Worker-X99,SAFE,2026-02-13T17:19:53Z
123,ESP32-Miner-01,29.60,63.90,0.03,0.08,9.82,0.00,0.00,0.00,75.00,4.80,0.00,Worker-X99,SAFE,2026-02-13T17:19:54Z
124,ESP32-Miner-01,27.20,66.70,-0.08,0.00,9.71,0.00,0.00,0.00,70.00,3.90,0.00,Worker-X99,SAFE,2026-02-13T17:19:55Z
125,ESP32-Miner-01,28.90,68.60,0.05,0.07,9.89,0.00,0.00,0.00,13.00,0.70,0.00,Worker-X99,SAFE,2026-02-13T17:19:56Z
126,ESP32-Miner-01,28.70,67.90,-0.08,-0.02,9.80,0.00,0.00,0.00,76.00,3.80,0.00,Worker-X99,SAFE,2026-02-13T17:19:57Z
127,ESP32-Miner-01,28.00,66.50,0.08,-0.06,9.75,0.00,0.00,0.00,72.00,2.70,0.00,Worker-X99,SAFE,2026-02-13T17:19:58Z
128,ESP32-Miner-01,26.80,63.40,-0.03,0.07,9.81,0.00,0.00,0.00,54.00,3.20,0.00,Worker-X99,SAFE,2026-02-13T17:19:59Z
129,ESP32-Miner-01,26.90,62.40,-0.01,0.05,9.78,0.00,0.00,0.00,14.00,1.50,0.00,Worker-X99,SAFE,2026-02-13T17:20:00Z
130,ESP32-Miner-01,28.10,67.30,0.06,0.07,9.76,0.00,0.00,0.00,78.00,3.20,0.00,Worker-X99,SAFE,2026-02-13T17:20:01Z
131,ESP32-Miner-01,27.00,67.80,-0.10,0.01,9.74,0.00,0.00,0.00,19.00,0.80,0.00,Worker-X99,SAFE,2026-02-13T17:20:02Z
132,ESP32-Miner-01,26.50,68.20,0.05,0.06,9.82,0.00,0.00,0.00,8.00,3.30,0.00,Worker-X99,SAFE,2026-02-13T17:20:03Z
133,ESP32-Miner-01,26.40,68.30,0.03,0.06,9.75,0.00,0.00,0.00,33.00,0.20,0.00,Worker-X99,SAFE,2026-02-13T17:20:04Z
134,ESP32-Miner-01,28.30,62.40,0.06,0.09,9.83,0.00,0.00,0.00,58.00,2.70,0.00,Worker-X99,SAFE,2026-02-13T17:20:05Z
135,ESP32-Miner-01,26.80,69.60,0.07,-0.03,9.79,0.00,0.00,0.00,18.00,2.80,0.00,Worker-X99,SAFE,2026-02-13T17:20:06Z
136,ESP32-Miner-01,26.30,63.70,-0.07,-0.01,9.88,0.00,0.00,0.00,20.00,0.80,0.00,Worker-X99,SAFE,2026-02-13T17:20:07Z
137,ESP32-Miner-01,27.30,65.50,0.04,0.04,9.85,0.00,0.00,0.00,78.00,0.00,0.00,Worker-X99,SAFE,2026-02-13T17:20:08Z
138,ESP32-Miner-01,29.30,67.60,0.00,0.00,9.88,0.00,0.00,0.00,66.00,3.40,0.00,Worker-X99,SAFE,2026-02-13T17:20:09Z
139,ESP32-Miner-01,28.50,60.00,0.07,-0.04,9.71,0.00,0.00,0.00,37.00,4.10,0.00,Worker-X99,SAFE,2026-02-13T17:20:10Z
140,ESP32-Miner-01,28.80,64.40,0.02,-0.10,9.84,0.00,0.00,0.00,16.00,4.20,0.00,Worker-X99,SAFE,2026-02-13T17:20:11Z
141,ESP32-Miner-01,28.20,64.70,-0.03,0.04,9.75,0.00,0.00,0.00,58.00,0.80,0.00,Worker-X99,SAFE,2026-02-13T17:20:12Z
142,ESP32-Miner-01,27.10,61.20,-0.06,-0.02,9.71,0.00,0.00,0.00,3.00,1.60,0.00,Worker-X99,SAFE,2026-02-13T17:20:13Z
143,ESP32-Miner-01,26.10,66.40,-0.08,-0.04,9.79,0.00,0.00,0.00,10.00,4.90,0.00,Worker-X99,SAFE,2026-02-13T17:20:14Z
144,ESP32-Miner-01,28.60,67.10,0.08,-0.09,9.89,0.00,0.00,0.00,52.00,0.70,0.00,Worker-X99,SAFE,2026-02-13T17:20:15Z
145,ESP32-Miner-01,29.30,60.30,0.00,0.06,9.90,0.00,0.00,0.00,56.00,1.30,0.00,Worker-X99,SAFE,2026-02-13T17:20:16Z
146,ESP32-Miner-01,27.50,65.70,0.07,-0.02,9.83,0.00,0.00,0.00,0.00,2.80,0.00,Worker-X99,SAFE,2026-02-13T17:20:17Z
147,ESP32-Miner-01,28.50,64.50,-0.06,-0.07,9.84,0.00,0.00,0.00,32.00,2.90,0.00,Worker-X99,SAFE,2026-02-13T17:20:18Z
148,ESP32-Miner-01,26.60,68.90,0.03,0.08,9.71,0.00,0.00,0.00,42.00,3.30,0.00,Worker-X99,SAFE,2026-02-13T17:20:20Z
149,ESP32-Miner-01,26.10,66.60,-0.09,-0.06,9.80,0.00,0.00,0.00,24.00,4.10,0.00,Worker-X99,SAFE,2026-02-13T17:20:21Z
150,ESP32-Miner-01,26.90,69.40,-0.07,0.03,9.86,0.00,0.00,0.00,38.00,2.20,0.00,Worker-X99,SAFE,2026-02-13T17:20:22Z
151,ESP32-Miner-01,28.10,68.00,-0.07,-0.07,9.72,0.00,0.00,0.00,42.00,1.00,0.00,Worker-X99,SAFE,2026-02-13T17:20:23Z
152,ESP32-Miner-01,29.90,69.80,0.09,-0.10,9.78,0.00,0.00,0.00,3.00,3.80,0.00,Worker-X99,SAFE,2026-02-13T17:20:24Z
153,ESP32-Miner-01,28.00,68.80,-0.05,0.03,9.77,0.00,0.00,0.00,33.00,2.50,0.00,Worker-X99,SAFE,2026-02-13T17:20:25Z
154,ESP32-Miner-01,29.30,69.40,-0.03,-0.04,9.74,0.00,0.00,0.00,9.00,3.00,0.00,Worker-X99,SAFE,2026-02-13T17:20:26Z
155,ESP32-Miner-01,29.60,65.90,0.06,0.06,9.85,0.00,0.00,0.00,10.00,4.30,0.00,Worker-X99,SAFE,2026-02-13T17:20:27Z
156,ESP32-Miner-01,26.60,62.20,-0.10,-0.09,9.87,0.00,0.00,0.00,37.00,0.40,0.00,Worker-X99,SAFE,2026-02-13T17:20:28Z
157,ESP32-Miner-01,28.00,66.30,0.03,0.07,9.81,0.00,0.00,0.00,69.00,1.40,0.00,Worker-X99,SAFE,2026-02-13T17:20:29Z
158,ESP32-Miner-01,26.30,66.70,0.01,-0.01,9.82,0.00,0.00,0.00,28.00,3.40,0.00,Worker-X99,SAFE,2026-02-13T17:20:30Z
159,ESP32-Miner-01,27.10,67.80,-0.02,-0.01,9.83,0.00,0.00,0.00,33.00,4.00,0.00,Worker-X99,SAFE,2026-02-13T17:20:31Z
160,ESP32-Miner-01,26.10,64.00,0.00,0.03,9.73,0.00,0.00,0.00,6.00,3.40,0.00,Worker-X99,SAFE,2026-02-13T17:20:32Z
161,ESP32-Miner-01,26.40,67.60,-0.09,-0.05,9.84,0.00,0.00,0.00,61.00,0.50,0.00,Worker-X99,SAFE,2026-02-13T17:20:33Z
162,ESP32-Miner-01,28.30,69.10,-0.03,-0.08,9.86,0.00,0.00,0.00,8.00,0.00,0.00,Worker-X99,SAFE,2026-02-13T17:20:34Z
163,ESP32-Miner-01,28.80,63.60,0.09,0.09,9.82,0.00,0.00,0.00,5.00,2.30,0.00,Worker-X99,SAFE,2026-02-13T17:20:35Z
164,ESP32-Miner-01,27.50,66.90,-0.09,0.04,9.74,0.00,0.00,0.00,52.00,1.10,0.00,Worker-X99,SAFE,2026-02-13T17:20:36Z
165,ESP32-Miner-01,27.80,61.20,-0.03,0.05,9.78,0.00,0.00,0.00,59.00,0.50,0.00,Worker-X99,SAFE,2026-02-13T17:20:37Z
166,ESP32-Miner-01,26.60,69.90,-0.04,0.06,9.78,0.00,0.00,0.00,65.00,1.70,0.00,Worker-X99,SAFE,2026-02-13T17:20:38Z
167,ESP32-Miner-01,29.50,66.30,-0.05,-0.06,9.74,0.00,0.00,0.00,67.00,2.10,0.00,Worker-X99,SAFE,2026-02-13T17:20:39Z
168,ESP32-Miner-01,27.30,68.20,-0.01,-0.10,9.75,0.00,0.00,0.00,60.00,0.30,0.00,Worker-X99,SAFE,2026-02-13T17:20:41Z
169,ESP32-Miner-01,26.80,62.30,0.02,-0.07,9.86,0.00,0.00,0.00,34.00,0.40,0.00,Worker-X99,SAFE,2026-02-13T17:20:42Z
